from,to ,type,weight
s01,s02,mencion,8
s01,s03,mencion,6
s01,s07,mencion,2
s01,s06,mencion,4
s01,s19,mencion,3
s01,s04,mencion,3
s01,s23,mencion,2
s02,s01,mencion,3
s02,s15,mencion,6
s02,s16,mencion,2
s03,s02,mencion,2
s03,s01,mencion,2
s04,s02,mencion,7
s04,s01,mencion,7
s04,s03,mencion,3
s04,s06,mencion,4
s04,s07,mencion,1
s04,s08,mencion,1
s04,s09,mencion,1
s04,s19,mencion,3
s04,s23,mencion,1
s05,s22,mencion,1
s05,s20,mencion,1
s11,s05,mencion,1
s11,s12,mencion,1
s11,s13,mencion,1
s11,s20,mencion,1
s12,s22,mencion,1
s15,s01,mencion,2
s15,s04,mencion,2
s15,s24,mencion,1
s15,s16,mencion,1
s15,s18,mencion,1
s21,s22,mencion,1
s21,s02,mencion,1
s22,s01,mencion,2
s22,s06,mencion,1
s22,s07,mencion,1
s22,s24,mencion,1
s22,s15,mencion,6
s22,s16,mencion,2
s22,s20,mencion,2
